UID          PID    PPID  C STIME TTY          TIME CMD
ben         1204     800  0 19:10 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
ben         1205     824  0 19:10 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
ben         1222     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-a11y-settings
ben         1223     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-color
ben         1225     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-datetime
ben         1227     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-housekeeping
ben         1231     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-keyboard
ben         1232     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-media-keys
ben         1233     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-power
ben         1237     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-print-notifications
ben         1241     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-rfkill
ben         1243     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
ben         1245     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-sharing
ben         1249     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-smartcard
ben         1251     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-sound
ben         1253     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-usb-protection
ben         1257     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-wacom
ben         1267     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-wwan
ben         1270     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-xsettings
ben         1275    1077  0 19:10 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
ben         1288    1115  0 19:10 ?        00:00:00 /usr/libexec/ibus-engine-simple
ben         1295    1077  0 19:10 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
ben         1315     800  0 19:10 ?        00:00:00 /usr/libexec/gsd-printer
colord      1327       1  0 19:10 ?        00:00:00 /usr/libexec/colord
root        1503       2  0 19:10 ?        00:00:00 [loop5]
root        1597       2  0 19:10 ?        00:00:00 [loop6]
root        1602       1  2 19:10 ?        00:00:14 /usr/lib/snapd/snapd
root        1781       2  0 19:10 ?        00:00:00 [loop7]
ben         1803     800  0 19:10 ?        00:00:00 /usr/bin/seahorse --gapplication-service
root        2000       2  0 19:10 ?        00:00:00 [loop8]
ben         2074     800  0 19:10 ?        00:00:00 /usr/libexec/gvfsd-metadata
ben         2121     800  0 19:10 ?        00:00:00 /usr/libexec/gnome-terminal-server
root        2288       2  0 19:10 ?        00:00:00 [loop9]
ben         2356    2121  0 19:10 pts/0    00:00:00 bash
ben         2770    1077  0 19:11 ?        00:00:00 update-notifier
root        4586       2  0 19:15 ?        00:00:00 [kworker/u2:0-ext4-rsv-conversion]
ben         4840    2356  0 19:18 pts/0    00:00:00 ps -ef
